The nanopore data from this textfile has been removed
Only the Illumina data and header remain...
Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_Age,Host_disease,Host,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,passage_history,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,Replicate,host_sex
SRR17415128,WGS,300,48529500,PRJNA793894,SAMN24592482,SARS-CoV-2: clinical or host-associated,26258596,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-06-09,public,"sra,fastq,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX13586952,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,not applicable,Illumina MiSeq,Hamster3_DC,Nasal Wash from Syrian Golden Hamster (Mesocricetus auratus),40.7882 N 73.9531 W,TD005556_AG_18826,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Original from sample,ILLUMINA,2022-01-03T00:00:00Z,H_Cage3_DC_2dpi_NW,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y,,female
SRR17415129,WGS,300,85367100,PRJNA793894,SAMN24592526,SARS-CoV-2: clinical or host-associated,51167511,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-16,public,"activ_sars2_vcf,sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX13586951,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,Human pneumocyte-like cells (in vitro cell culture),Viral supernantants from pneumocyte infected cells,40.7882 N 73.9531 W,TD005760_AG_23574,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Passage 2,ILLUMINA,2022-01-03T00:00:00Z,80_20_3_24h,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (80:20 ratio),Biological replicate 3,
SRR17415130,WGS,300,90406200,PRJNA793894,SAMN24592525,SARS-CoV-2: clinical or host-associated,54592634,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-16,public,"fastq,sra,activ_sars2_vcf","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX13586950,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,Human pneumocyte-like cells (in vitro cell culture),Viral supernantants from pneumocyte infected cells,40.7882 N 73.9531 W,TD005760_AG_23573,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Passage 2,ILLUMINA,2022-01-03T00:00:00Z,80_20_2_24h,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (80:20 ratio),Biological replicate 2,
SRR17415131,WGS,300,81456900,PRJNA793894,SAMN24592524,SARS-CoV-2: clinical or host-associated,48451141,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-16,public,"sra,activ_sars2_vcf,fastq","s3,gs","gs.US,s3.us-east-1",SRX13586949,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,Human pneumocyte-like cells (in vitro cell culture),Viral supernantants from pneumocyte infected cells,40.7882 N 73.9531 W,TD005760_AG_23572,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Passage 2,ILLUMINA,2022-01-03T00:00:00Z,80_20_1_24h,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (80:20 ratio),Biological replicate 1,
SRR17415132,WGS,300,80639700,PRJNA793894,SAMN24592523,SARS-CoV-2: clinical or host-associated,48200042,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-15,public,"fastq,activ_sars2_vcf,sra","gs,s3","s3.us-east-1,gs.US",SRX13586948,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,not applicable,Viral supernatants,40.7882 N 73.9531 W,TD005760_AG_23571,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Original viral stock,ILLUMINA,2022-01-03T00:00:00Z,30_70_input,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (30:70 ratio),,
SRR17415133,WGS,300,46698000,PRJNA793894,SAMN24592522,SARS-CoV-2: clinical or host-associated,28611403,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-15,public,"activ_sars2_vcf,sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX13586947,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,not applicable,Viral supernatants,40.7882 N 73.9531 W,TD005760_AG_23570,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Original viral stock,ILLUMINA,2022-01-03T00:00:00Z,50_50_input,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (50:50 ratio),,
SRR17415134,WGS,300,68408100,PRJNA793894,SAMN24592521,SARS-CoV-2: clinical or host-associated,41058085,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-15,public,"activ_sars2_vcf,fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX13586946,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,not applicable,Viral supernatants,40.7882 N 73.9531 W,TD005760_AG_23569,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Original viral stock,ILLUMINA,2022-01-03T00:00:00Z,70_30_input,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (70:30 ratio),,
SRR17415135,WGS,300,70068900,PRJNA793894,SAMN24592520,SARS-CoV-2: clinical or host-associated,42386798,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-15,public,"sra,activ_sars2_vcf,fastq","gs,s3","gs.US,s3.us-east-1",SRX13586945,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,not applicable,Viral supernatants,40.7882 N 73.9531 W,TD005760_AG_23567,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Original viral stock,ILLUMINA,2022-01-03T00:00:00Z,60_40_input,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (60:40 ratio),,
SRR17415136,WGS,300,83834400,PRJNA793894,SAMN24592519,SARS-CoV-2: clinical or host-associated,50104752,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-15,public,"sra,activ_sars2_vcf,fastq","s3,gs","s3.us-east-1,gs.US",SRX13586944,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,not applicable,Viral supernatants,40.7882 N 73.9531 W,TD005760_AG_23566,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Original viral stock,ILLUMINA,2022-01-03T00:00:00Z,20_80_input,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (20:80 ratio),,
SRR17415137,WGS,300,72776400,PRJNA793894,SAMN24592518,SARS-CoV-2: clinical or host-associated,43727201,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"Alba Escalera\, Ana S. Gonzalez-Reiche\, Sadaf Aslam\, Ignacio Mena\, Rebecca L. Pearl\, Manon Laporte\, Andrea Fossati\, Raveen Rathnasinghe\, Hala Alshammary\, Adriana van de Guchte\, Mehdi Bouhaddou\, Thomas Kehrer\, Lorena Zuliani-Alvarez\, David A. Meekins\, Ve...",2021-11-15,public,"activ_sars2_vcf,sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13586943,USA,North America,USA: New York,not applicable,severe acute respiratory syndrome,Homo sapiens,Illumina MiSeq,not applicable,Viral supernatants,40.7882 N 73.9531 W,TD005760_AG_23565,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Original viral stock,ILLUMINA,2022-01-03T00:00:00Z,40_60_input,SRP353348,SARS-CoV-2/USA-WA1/2020 and WA1-655Y (40:60 ratio),,
